#group,false,false,true,true,false,true,true,true,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,exchange,symbol,price,quantity,side
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:28.311Z,trades,BybitFutures,BTCUSDT,64996.2,0.216,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:30.09Z,trades,BybitFutures,BTCUSDT,64996.2,0.004,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:30.103Z,trades,BybitFutures,BTCUSDT,64996.3,0.006,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:30.383Z,trades,BybitFutures,BTCUSDT,64996.2,0.025,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:31.047Z,trades,BybitFutures,BTCUSDT,64996.2,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:31.964Z,trades,BybitFutures,BTCUSDT,64995.9,0.05,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.001Z,trades,BybitFutures,BTCUSDT,64994.7,0.077,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.033Z,trades,BybitFutures,BTCUSDT,64993.3,0.049,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.061Z,trades,BybitFutures,BTCUSDT,64991.2,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.09Z,trades,BybitFutures,BTCUSDT,64991.1,0.05,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.182Z,trades,BybitFutures,BTCUSDT,64990.1,0.18,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.193Z,trades,BybitFutures,BTCUSDT,64990.1,0.179,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.532Z,trades,BybitFutures,BTCUSDT,64990,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.853Z,trades,BybitFutures,BTCUSDT,64990,0.034,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.902Z,trades,BybitFutures,BTCUSDT,64988.8,0.042,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.909Z,trades,BybitFutures,BTCUSDT,64988,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:32.911Z,trades,BybitFutures,BTCUSDT,64987.3,0.008,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.063Z,trades,BybitFutures,BTCUSDT,64985.5,0.054,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.067Z,trades,BybitFutures,BTCUSDT,64984.5,0.038,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.088Z,trades,BybitFutures,BTCUSDT,64984,0.002,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.103Z,trades,BybitFutures,BTCUSDT,64980,0.035,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.118Z,trades,BybitFutures,BTCUSDT,64980,0.02,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.135Z,trades,BybitFutures,BTCUSDT,64980,0.004,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.143Z,trades,BybitFutures,BTCUSDT,64980,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.441Z,trades,BybitFutures,BTCUSDT,64979.2,0.035,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.443Z,trades,BybitFutures,BTCUSDT,64974,0.024,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.455Z,trades,BybitFutures,BTCUSDT,64974,0.038,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.616Z,trades,BybitFutures,BTCUSDT,64974,0.006,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:33.851Z,trades,BybitFutures,BTCUSDT,64972.5,0.004,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:34.092Z,trades,BybitFutures,BTCUSDT,64970.9,0.015,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:34.265Z,trades,BybitFutures,BTCUSDT,64971,0.007,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:35.426Z,trades,BybitFutures,BTCUSDT,64971,0.013,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:35.694Z,trades,BybitFutures,BTCUSDT,64970.9,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:36.072Z,trades,BybitFutures,BTCUSDT,64971,0.004,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:37.435Z,trades,BybitFutures,BTCUSDT,64971,0.001,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:37.638Z,trades,BybitFutures,BTCUSDT,64970.9,0.026,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:37.742Z,trades,BybitFutures,BTCUSDT,64971,0.002,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:38.292Z,trades,BybitFutures,BTCUSDT,64970.9,0.016,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:38.467Z,trades,BybitFutures,BTCUSDT,64971,0.013,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:38.468Z,trades,BybitFutures,BTCUSDT,64972.6,0.023,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:38.596Z,trades,BybitFutures,BTCUSDT,64978.3,0.028,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:38.597Z,trades,BybitFutures,BTCUSDT,64978.3,0.049,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:38.66Z,trades,BybitFutures,BTCUSDT,64979.3,0.023,buy
